id,name,supplier_id,cost
502,"Veal - Chops, Split, Frenched",2,0.09
503,Vinegar - Cider,27,1.29
504,Daikon Radish,10,2.46
505,Ginger - Ground,6,0.09
506,Ginger - Ground,35,1.27
507,Squid - U - 10 Thailand,27,0.51
508,Wine - Baron De Rothschild,1,2.86
509,Samosa - Veg,30,0.46
510,Samosa - Veg,35,0.92
511,"Orange - Canned, Mandarin",10,0.76
512,Pastry - Choclate Baked,5,0.02
513,Parsley Italian - Fresh,2,4.77
514,Bacardi Raspberry,14,4.43
515,"Cheese - Cheddar, Old White",32,0.19
516,Towel Dispenser,12,1.59
517,Towel Dispenser,14,0.36
518,Towel Dispenser,32,3.61
519,Beer - Creemore,14,0.44
520,Beer - Creemore,34,0.73
521,Spice - Paprika,1,0.82
522,Spice - Paprika,35,1.7
523,"Tendrils - Baby Pea, Organic",27,0.05
524,"Iced Tea - Lemon, 460 Ml",34,0.6
525,Oil - Grapeseed Oil,15,4.13
526,Lambcasing,19,0.5
527,Eggplant Italian,25,0.8
528,Potatoes - Mini Red,9,3.27
529,Wine - Dubouef Macon - Villages,25,2.24
530,Ginger - Fresh,8,0.71
531,"Trout - Rainbow, Frozen",25,2.59
532,Wine - Riesling Dr. Pauly,2,0.36
533,Wine - Riesling Dr. Pauly,5,2.55
534,Oil - Olive Bertolli,13,1.73
535,Banana - Green,28,1.11
536,"Halibut - Whole, Fresh",11,1.22
537,Beer - Pilsner Urquell,10,1.1
538,Bag - Regular Kraft 20 Lb,24,1.19
539,Lamb - Rack,8,1.11
540,Cup - 8oz Coffee Perforated,6,1.3
541,Mushroom - Crimini,33,2.02
542,Wine - Balbach Riverside,29,0.55
543,French Kiss Vanilla,27,2.25
544,Tea - Vanilla Chai,21,0.11
545,"Beef - Outside, Round",22,1.65
546,Chef Hat 25cm,9,2.04
547,Chef Hat 25cm,22,0.65
548,Compound - Pear,28,4.54
549,Compound - Raspberry,22,1.96
550,"Nut - Almond, Blanched, Ground",29,1.87
551,Blackberries,24,1.07
552,Puree - Strawberry,35,3.55
553,Gloves - Goldtouch Disposable,27,1.28
554,"Lamb - Whole, Frozen",25,0.63
555,Canada Dry,32,0.77
556,Tumeric,21,2.29
557,Lotus Rootlets - Canned,35,0.34
558,"Turkey - Breast, Double",1,1.5
559,"Turkey - Breast, Double",16,0.61
560,Fruit Salad Deluxe,12,0.5
561,Wine - Ej Gallo Sierra Valley,19,0.97
562,Fond - Neutral,22,2.01
563,Veal - Kidney,30,2.38
564,"Beets - Candy Cane, Organic",10,1.02
565,"Beets - Candy Cane, Organic",20,0.63
566,"Beets - Candy Cane, Organic",26,5.26
567,Appetizer - Tarragon Chicken,12,3.62
568,Garbage Bags - Black,11,1.34
569,Horseradish Root,25,1.5
570,Beef Ground Medium,18,0.16
571,Water - Spring 1.5lit,12,1.54
572,Cumin - Whole,21,0.52
573,Compound - Passion Fruit,21,3.19
574,Soup - Campbells - Tomato,31,0.11
575,Crab - Soft Shell,10,2.45
576,Wine - Red Oakridge Merlot,21,2.15
577,Pepper - Pablano,29,0.49
578,Yams,26,0.39
579,"Crab - Back Fin Meat, Canned",19,4.06
580,Beer - Paulaner Hefeweisse,3,3.43
581,Poppy Seed,2,0.49
582,Pork - Backfat,3,1.93
583,"Squash - Pattypan, Yellow",16,1.1
584,"Squash - Pattypan, Yellow",32,0.17
585,"Squash - Pattypan, Yellow",32,0.17
586,"Beef - Baby, Liver",14,1.88
587,"Beef - Baby, Liver",31,0.07
588,Roe - White Fish,16,0.08
589,Cheese - Sheep Milk,17,0.3
590,Praline Paste,7,0.67
591,Wine - Zinfandel Rosenblum,14,5.41
592,Muffin Carrot - Individual,12,0.26
593,Chocolate Bar - Coffee Crisp,11,3.46
594,Cleaner - Bleach,7,0.26
595,Cheese - Comte,27,2.01
596,Fruit Mix - Light,18,3.14
597,Fruit Mix - Light,32,0.6
598,"Pasta - Gnocchi, Potato",12,2.41
599,Pie Filling - Pumpkin,6,2.72
600,Sorrel - Fresh,2,2.65
601,Eggplant - Baby,25,3.26
602,Pork - Side Ribs,26,0.91
603,Wine - Marlbourough Sauv Blanc,29,1.47
604,Pepper - Sorrano,14,0.49
605,Pepper - Sorrano,35,1.54
606,Liners - Baking Cups,15,0.56
607,Coffee - French Vanilla Frothy,4,5.95
608,"Water - Mineral, Carbonated",7,5.15
609,Cup Translucent 9 Oz,20,0.52
610,Cup Translucent 9 Oz,24,1.32
611,Cup Translucent 9 Oz,35,0.28
612,Mini - Vol Au Vents,6,1.91
613,Raspberries - Fresh,2,0.96
614,Raspberries - Fresh,14,0.54
615,Parsley - Dried,34,6.05
616,"Sauce - Gravy, Au Jus, Mix",32,2.52
617,Mangoes,19,2.42
618,Smoked Paprika,20,2.27
619,Smoked Paprika,30,1.08
620,Cookies - Assorted,6,1.75
621,Vanilla Beans,8,0.97
622,Vanilla Beans,32,0.12
623,Jack Daniels,2,2.38
624,Cocoa Powder - Natural,17,0.99
625,"Veal - Inside Round / Top, Lean",14,0.76
626,"Doilies - 12, Paper",18,0.04
627,Shopper Bag - S - 4,14,2.1
628,Shopper Bag - S - 4,21,0.52
629,"Sugar - Sweet N Low, Individual",1,4.03
630,Shiratamako - Rice Flour,21,2.33
631,Wine - Tio Pepe Sherry Fino,34,3.93
632,"Chicken - Thigh, Bone In",3,0.14
633,Wine - Wyndham Estate Bin 777,4,0.03
634,Vol Au Vents,10,0.98
635,Vol Au Vents,22,0.35
636,Ice Cream - Strawberry,28,2.18
637,Chicken - Wieners,35,1.67
638,Foam Dinner Plate,1,1.34
639,Lobak,25,1.33
640,Sauce - Salsa,27,2.23
641,Nantucket Orange Juice,7,0.24
642,Remy Red,27,0.43
643,Jameson Irish Whiskey,30,2.42
644,Nut - Pumpkin Seeds,18,0.5
645,Nut - Pumpkin Seeds,27,1.34
646,"Beans - Black Bean, Dry",30,0.92
647,Pork - Shoulder,11,2.1
648,"Soup - Campbells, Beef Barley",7,0.54
649,"Loaf Pan - 2 Lb, Foil",12,0.56
650,Spice - Montreal Steak Spice,16,3.48
651,Sherry - Dry,9,0.23
652,Sherry - Dry,11,0.97
653,Sherry - Dry,19,2.36
654,Pie Shell - 5,34,1.66
655,"Cake Circle, Paprus",3,0.14
656,"Cake Circle, Paprus",13,0.48
657,"Vodka - Lemon, Absolut",14,1.75
658,Bread - Italian Sesame Poly,27,6.86
659,Sole - Iqf,10,0.13
660,"Soup - Knorr, Classic Can. Chili",21,1.26
661,"Soup - Knorr, Classic Can. Chili",30,2.9
662,"Wine - Red, Mouton Cadet",16,4.73
663,"Bread - Multigrain, Loaf",9,0.22
664,Tuna - Sushi Grade,7,3.48
665,Truffle Paste,27,0.56
666,"Pasta - Fettuccine, Dry",10,0.82
667,Fireball Whisky,11,0.39
668,Sugar - Icing,13,1.26
669,Sugar - Icing,21,2.28
670,Cheese - Brie,15,0.83
671,Eggroll,9,0.65
672,Eggroll,11,2.38
673,Duck - Legs,35,2.69
674,Pasta - Agnolotti - Butternut,22,0.15
675,Bols Melon Liqueur,31,1.55
676,Cheese - Comtomme,33,0.69
677,"Coconut - Shredded, Unsweet",8,0.94
678,Assorted Desserts,4,3.03
679,"Pork - Sausage, Medium",28,1.66
680,Bread - Pita,17,1.45
681,Mushroom Morel Fresh,31,3.24
682,"Veal - Tenderloin, Untrimmed",21,0.23
683,"Veal - Tenderloin, Untrimmed",24,3.72
684,"Veal - Tenderloin, Untrimmed",26,1.61
685,Tuna - Salad Premix,14,0.49
686,"Beans - Long, Chinese",3,1.02
687,Napkin Colour,19,0.93
688,"Pasta - Rotini, Colour, Dry",19,0.11
689,Cake Slab,5,0.96
690,"Wine - White, Mosel Gold",14,2.35
691,Wine - Carmenere Casillero Del,35,1.19
692,Chocolate - Compound Coating,2,0.6
693,Cake - Bande Of Fruit,5,0.56
694,Bread - Bistro White,30,0.2
695,Raspberries - Frozen,8,2.57
696,Cheese - Goat,28,1.16
697,Tart - Pecan Butter Squares,8,1.96
698,Pectin,24,4.28
699,Beef - Top Butt Aaa,12,5.04
700,Swiss Chard - Red,5,0.38
701,Scrubbie - Scotchbrite Hand Pad,29,1.81
702,"Pasta - Linguini, Dry",18,0.02
703,Urban Zen Drinks,31,1.64
704,Goulash Seasoning,22,4.85
705,"Syrup - Monin, Amaretta",12,2.83
706,"Tart Shells - Sweet, 2",9,2.43
707,Soho Lychee Liqueur,14,3.28
708,Cheese - Le Cheve Noir,22,2.14
709,Bagel - Whole White Sesame,3,2.24
710,Bagel - Whole White Sesame,18,0.37
711,Bread - Pumpernickel,8,3.69
712,"Chocolate - Milk, Callets",16,2.55
713,Muffin Puck Ww Carrot,10,1.34
714,Lettuce - Romaine,30,0.4
715,Cheese - Ermite Bleu,5,0.19
716,Kahlua,32,0.5
717,Bread - Pain Au Liat X12,25,1.08
718,Wine - Bouchard La Vignee Pinot,19,0.12
719,Juice - Lemon,27,2.67
720,"Wine - White, Colubia Cresh",5,0.61
721,Mayonnaise,2,0.51
722,Wine - German Riesling,30,0.41
723,Trueblue - Blueberry,22,2.12
724,Lid Tray - 12in Dome,4,2.13
725,Water Chestnut - Canned,15,0.46
726,Container Clear 8 Oz,34,1.86
727,Wine La Vielle Ferme Cote Du,22,1.46
728,Sunflower Seed Raw,9,0.69
729,Sunflower Seed Raw,15,2.23
730,Sunflower Seed Raw,35,2.1
731,Tray - 12in Rnd Blk,4,2.1
732,Tray - 12in Rnd Blk,9,0.78
733,Sugar - White Packet,6,0.55
734,Sugar - White Packet,26,1.98
735,Sauce - Oyster,18,3.33
736,"Flour - Buckwheat, Dark",7,0.15
737,Wine - Stoneliegh Sauvignon,6,0.66
738,Island Oasis - Lemonade,8,0.19
739,Island Oasis - Lemonade,22,4.8
740,Daves Island Stinger,11,1.62
741,Daves Island Stinger,35,4.93
742,Melon - Cantaloupe,8,1.57
743,Cookie - Oatmeal,30,0.97
744,Squash - Butternut,32,4.82
745,Pants Custom Dry Clean,18,1.91
746,"Beef - Tongue, Fresh",9,6.06
747,Yukon Jack,16,0.93
748,Yukon Jack,20,2.69
749,Tequila - Sauza Silver,24,1.81
750,Tea - Grapefruit Green Tea,14,3.91
751,Pork - Ground,30,3.01
752,Table Cloth 62x120 Colour,34,3.12
753,Cheese - Grana Padano,17,0.35
754,Sambuca - Opal Nera,28,3.33
755,Soup - Campbells Chili Veg,35,1.59
756,Foil Wrap,26,0.74
757,Soup Campbells - Italian Wedding,18,2.98
758,Lettuce - Red Leaf,34,0.68
759,Cheese - Cambozola,30,2.12
760,Stainless Steel Cleaner Vision,3,1.52
761,Cloves - Ground,10,0.09
762,"Water, Tap",22,1.28
763,"Bread - Roll, Soft White Round",31,1.3
764,Chicken - Whole Roasting,2,0.98
765,Steam Pan - Half Size Deep,15,1.5
766,Galliano,19,1.11
767,The Pop Shoppe - Grape,10,1.91
768,The Pop Shoppe - Grape,33,4.45
769,Chips Potato Salt Vinegar 43g,6,7.79
770,Radish - Pickled,10,4.95
771,Rice - Long Grain,29,3.94
772,Mortadella,2,2.93
773,Pail With Metal Handle 16l White,13,1.64
774,Trout Rainbow Whole,30,2.01
775,Onion - Dried,14,0.32
776,Quail - Jumbo,21,0.27
777,Tomatoes - Cherry,12,0.67
778,Chicken - Soup Base,17,1.47
779,Chicken - Soup Base,18,0.23
780,Soup - Chicken And Wild Rice,19,0.18
781,Bread - Dark Rye,30,2.98
782,Energy - Boo - Koo,31,0.36
783,Beer - Labatt Blue,5,4.11
784,Sage - Rubbed,22,1.52
785,Wine - Chateauneuf Du Pape,10,0.27
786,Sprouts - Peppercress,2,1.84
787,Lid - 16 Oz And 32 Oz,30,1.37
788,Bandage - Flexible Neon,24,1.06
789,The Pop Shoppe - Root Beer,2,1.59
790,"Shrimp - 16 - 20 Cooked, Peeled",3,4.84
791,"Croissant, Raw - Mini",20,2.3
792,"Lobster - Tail, 3 - 4 Oz",31,0.96
793,"Wine - White, Pelee Island",26,1.28
794,"Chicken - Base, Ultimate",31,2.4
795,Magnotta - Bel Paese White,9,2.28
796,Dragon Fruit,1,0.09
797,"Pepper - Chillies, Crushed",20,0.78
798,Tomatoes - Roma,11,1.16
799,Bread - Assorted Rolls,27,1.63
800,Beans - Wax,11,0.69
801,Beans - Wax,33,1.89
802,Dr. Pepper - 355ml,10,5.49
803,Beef Flat Iron Steak,9,0.52
804,Trout - Smoked,24,0.57
805,Appetizer - Mango Chevre,15,1.08
806,Appetizer - Mango Chevre,16,3.29
807,"Turkey - Whole, Fresh",29,0.35
808,Soupfoamcont12oz 112con,8,4.1
809,Chervil - Fresh,15,1.92
810,Pea - Snow,22,2.67
811,Bread - Granary Small Pull,19,0.17
812,Bread - Granary Small Pull,21,2.66
813,Oxtail - Cut,13,0.98
814,"Tortillas - Flour, 12",21,3.18
815,Chocolate - Liqueur Cups With Foil,30,8.39
816,Guinea Fowl,17,2.55
817,Lettuce - Boston Bib,2,2.96
818,Cheese - Grie Des Champ,34,0.44
819,Spice - Greek 1 Step,8,0.13
820,Salmon Steak - Cohoe 6 Oz,1,2.07
821,Lettuce - Frisee,16,2.45
822,Tea - Green,10,0.1
823,Tea - Green,18,1.24
824,Dome Lid Clear P92008h,26,0.79
825,"Beef - Rib Roast, Capless",18,2.42
826,"Beef - Rib Roast, Capless",32,3.7
827,"Pasta - Fettuccine, Egg, Fresh",27,1.47
828,Pastry - Baked Cinnamon Stick,34,1.1
829,"Wine - Red, Metus Rose",2,4
830,Toamtoes 6x7 Select,11,1.06
831,Beans - Fava Fresh,6,1.45
832,"Flour - Bran, Red",25,1.08
833,"Pepper - Black, Whole",16,3.82
834,Pie Shell - 9,24,2.24
835,Piping - Bags Quizna,25,2.23
836,Kohlrabi,31,1.43
837,Squid - Tubes / Tenticles 10/20,24,5.19
838,Bread Base - Gold Formel,4,1.63
839,Hot Chocolate - Individual,24,0.08
840,Plaintain,24,0.72
841,Chinese Foods - Chicken,32,0.54
842,Bag Clear 10 Lb,34,1.37
843,Wine - Alsace Gewurztraminer,5,1.3
844,"Mushroom - Enoki, Fresh",4,1.24
845,Soup - Campbells Tomato Ravioli,5,0.32
846,Toothpick Frilled,15,2.01
847,Toothpick Frilled,22,3.21
848,"Wine - Magnotta, Merlot Sr Vqa",29,3.84
849,The Pop Shoppe Pinapple,24,2.55
850,Papadam,22,8.53
851,Calypso - Pineapple Passion,14,5.26
852,Sausage - Meat,32,1.91
853,Beer - Upper Canada Light,10,1.35
854,Wine - Prosecco Valdobienne,21,0.27
855,Anchovy In Oil,20,4.96
856,Latex Rubber Gloves Size 9,30,6.26
857,Wine - Pinot Noir Mondavi Coastal,7,1.53
858,Beef - Striploin Aa,14,0.84
859,Cream Of Tartar,31,1.61
860,"Spoon - Soup, Plastic",8,2.58
861,"Wine - Red, Pelee Island Merlot",18,2.23
862,Chicken Breast Halal,20,0.28
863,Chicken Breast Halal,20,2.39
864,Tea - Decaf 1 Cup,31,0.34
865,Veal - Inside,13,1.52
866,Corn - Mini,5,5.8
867,Pecan Raisin - Tarts,34,4.56
868,"Coconut - Creamed, Pure",24,0.3
869,"Lamb - Whole, Fresh",10,2.94
870,"Lamb - Whole, Fresh",13,1.7
871,Orange Roughy 6/8 Oz,28,1.86
872,Nantucket Cranberry Juice,8,1.18
873,Wine - Fat Bastard Merlot,20,0.53
874,"Tomatoes - Cherry, Yellow",9,1.23
875,Soup - Campbells Mac N Cheese,34,1.55
876,Salt And Pepper Mix - Black,9,2.25
877,Muffin Mix - Blueberry,7,0.6
878,Ham - Cooked Bayonne Tinned,25,2.07
879,Puff Pastry - Slab,11,0.9
880,Appetiser - Bought,2,3.07
881,Wine - Masi Valpolocell,17,2.51
882,Pastry - Baked Scones - Mini,15,1.77
883,Beer - Sleeman Fine Porter,10,1.02
884,Broom - Corn,17,12.09
885,Pheasants - Whole,19,0.95
886,"Tea - Darjeeling, Azzura",21,2.32
887,"Wine - Red, Concha Y Toro",6,0.62
888,"Soup - Campbells, Minestrone",2,5.91
889,Muffin Hinge - 211n,31,0.23
890,Cherries - Frozen,13,0.68
891,"Soup - Knorr, Ministrone",4,0.37
892,"Wine - Red, Antinori Santa",16,0.02
893,"Bread - Pumpernickle, Rounds",21,0.36
894,Relish,5,0.62
895,Oil - Olive,14,0.65
896,Oil - Olive,30,1.98
897,Water - Aquafina Vitamin,12,0.07
898,Sour Puss Sour Apple,10,0.93
899,Macaroons - Homestyle Two Bit,9,0.71
900,Mix - Cocktail Ice Cream,8,3.3
901,"Pasta - Lasagne, Fresh",3,1.19
902,"Pasta - Lasagne, Fresh",11,1.16
903,"Oranges - Navel, 72",4,1.88
904,Sugar - Palm,31,0.67
905,Persimmons,9,4.22
906,Sprouts - Bean,31,0.13
907,Fondant - Icing,35,0.21
908,"Pepper - Black, Ground",5,0.14
909,"Pepper - Black, Ground",15,2.84
910,Flavouring - Orange,17,1.71
911,Flavouring - Orange,20,1.89
912,Sea Bass - Fillets,30,1.46
913,Sun - Dried Tomatoes,25,2.07
914,Parasol Pick Stir Stick,16,3.53
915,Bread - Raisin,32,2.95
916,Truffle - Peelings,5,2.06
917,"Wine - White, Riesling, Henry Of",17,2.93
918,"Tomatoes - Diced, Canned",10,1.64
919,Cake - Pancake,24,2.04
920,Cake - Pancake,25,2.83
921,Cake - Pancake,34,1.76
922,Fenngreek Seed,9,2.43
923,Fenngreek Seed,21,1.73
924,Wine - Rhine Riesling Wolf Blass,20,2.45
925,Wine - Rhine Riesling Wolf Blass,28,2.57
926,Pears - Anjou,26,2.79
927,Milk - 1%,26,1.12
928,Soup - French Can Pea,14,1.07
929,V8 Splash Strawberry Banana,13,1.94
930,Breakfast Quesadillas,17,0.88
931,Breakfast Quesadillas,35,0.45
932,Puree - Raspberry,8,2.09
933,"Veal - Shank, Pieces",34,0.86
934,Cookies Cereal Nut,1,1.82
935,Soup Campbells - Tomato Bisque,21,2.77
936,Ham - Procutinni,26,1.71
937,Ham - Procutinni,34,3.74
938,Bandage - Fexible 1x3,11,4.17
939,Bandage - Fexible 1x3,25,2.01
940,Bandage - Fexible 1x3,30,3.34
941,Puff Pastry - Sheets,28,2.58
942,Lettuce - Treviso,4,0.89
943,Muffin - Banana Nut Individual,1,2.76
944,Muffin - Banana Nut Individual,9,1.19
945,Muffin - Banana Nut Individual,28,1.43
946,Muffin - Banana Nut Individual,33,2.49
947,Beer - Tetleys,7,0.45
948,Beer - Tetleys,27,1.91
949,Cheese - Parmigiano Reggiano,4,0.75
950,Extract - Lemon,19,2.76
951,Muffin Mix - Oatmeal,3,3.96
952,Wine - Savigny - Les - Beaune,32,1.44
953,Wine - Savigny - Les - Beaune,33,0.15
954,Cheese - Cream Cheese,33,0.61
955,Nacho Chips,10,2.03
956,Chicken - Whole,9,1.47
957,"Lamb - Pieces, Diced",11,2.44
958,"Cup - 3.5oz, Foam",28,0.7
959,Pineapple - Golden,19,2.18
960,Petite Baguette,15,0.74
961,Rice - Aborio,3,0.88
962,Rice - Aborio,15,1.2
963,Rice - Aborio,16,0.92
964,Beer - True North Strong Ale,31,1.73
965,Chicken Thigh - Bone Out,8,1.43
966,Chicken Thigh - Bone Out,14,2.11
967,"Capon - Breast, Wing On",16,3.12
968,Wine - Magnotta - Belpaese,32,1.94
969,Longos - Chicken Curried,30,1.26
970,Tamarillo,7,1.54
971,Cakes Assorted,11,0.68
972,Brandy - Bar,14,0.91
973,"Sauce - Black Current, Dry Mix",30,0.91
974,Muffin Orange Individual,6,3.99
975,Muffin Orange Individual,28,0.68
976,"Soup - Campbells, Creamy",35,7.79
977,Sole - Fillet,9,1.25
978,Banana Turning,33,3.55
979,"Beans - Turtle, Black, Dry",35,0.27
980,Cup - Translucent 7 Oz Clear,11,1.25
981,Tofu - Firm,32,1.07
982,Bread - Mini Hamburger Bun,12,1.34
983,Flour - Pastry,33,4.07
984,Cabbage - Red,31,0.17
985,Cabbage - Red,33,1.25
986,Chinese Foods - Plain Fried Rice,7,2.71
987,Chinese Foods - Plain Fried Rice,10,1.53
988,"Wine - Red, Marechal Foch",26,1.09
989,Wine - Manischewitz Concord,2,0.02
990,Ecolab Crystal Fusion,2,0.17
991,Ecolab Crystal Fusion,24,2.12
992,"Seedlings - Buckwheat, Organic",28,1.09
993,Bok Choy - Baby,34,2.71
994,Turkey - Ground. Lean,35,1.43
995,"Basil - Dry, Rubbed",15,1.04
996,Wine - Pinot Noir Stoneleigh,20,4.17
997,Okra,35,0.99
998,Flounder - Fresh,6,1.8
999,Bread - Wheat Baguette,34,0.41
1000,"Soup - Knorr, French Onion",3,4.42
